269|0000100078||T|
269|0000100895||T|
269|0000101842||T|
269|0000101868||T|
269|0000101950||T|
269|0000103746||T|
269|0000103871||T|
269|0000104115||T|
269|0000104292||T|
269|0000104546||T|
269|0000105217||T|
269|0000105789||T|
269|0000105975||T|
269|0000106610||T|
269|0000106683||T|
269|0000106778||T|
269|0000109080||T|
269|0000109338||T|
269|0000109425||T|
269|0000111289||T|
269|0000112662||T|
269|0000115364||T|
269|0000115392||T|
269|0000115411||T|
269|0000115415||T|
269|0000115577||T|
269|0000116284||T|
269|0000116826||T|
269|0000116832||T|
269|0000116833||T|
269|0000118834||T|
269|0000119270||T|
269|0000119367||T|
269|0000119879||T|
269|0000120142||T|
269|0000120281||T|
269|0000120649||T|
269|0000120669||T|
269|0000122007||T|
269|00070||T|
269|00593||T|
269|00659||T|
269|00742||T|
269|01104||T|
269|01105||T|
269|01967||T|
269|02102||T|
269|02183||T|
269|02308||T|
269|02346||T|
269|04049||T|
269|04072||T|
269|04358||T|
269|04370||T|
269|04471||T|
269|04831||T|
269|05764||T|
269|05916||T|
269|05927||T|
269|06231||T|
269|06852||T|
269|07009||T|
269|07391||T|
269|08009||T|
269|08549||T|
269|09054||T|
269|09082||T|
269|09126||T|
269|09618||T|
269|09714||T|
269|09862||T|
269|09910||T|
269|09916||T|
269|10173||T|
269|10863||T|
269|10928||T|
269|11975||T|
269|12057||T|
269|12287||T|
269|12313||T|
269|12385||T|
269|12509||T|
269|12554||T|
269|12698||T|
269|12722||T|
269|12811||T|
269|12996||T|
269|13373||T|
269|13660||T|
269|13694||T|
269|13737||T|
269|13833||T|
269|13861||T|
269|15141||T|
269|15212||T|
269|17245||T|
269|17461||T|
269|19158||T|
269|19193||T|
269|19705||T|
269|29378||T|
